20220301-h00m41s30	[2299.2694163     0.01056124    2.0680321   434.2314045 ]
20220301-h00m42s18	[2830.59103871    0.01048034    2.06839299  466.69289468]
20220301-h00m43s09	[3631.66422083    0.0069945     2.1197114   489.02185287]
20220301-h00m43s58	[3003.62153227    0.00974586    2.05129978  448.14365262]
20220301-h00m44s46	[2350.71844213    0.00800271    1.99541446  426.83338111]
20220301-h00m45s35	[3161.68632596    0.00924275    2.06623401  480.19297495]
20220301-h00m46s23	[2177.261459      0.01098036    2.0789388   498.64348523]
20220301-h00m47s11	[4471.49313426    0.00723608    2.08463869  499.54384288]
20220301-h00m48s04	[3896.30723567    0.00904484    2.10805531  465.14758084]
20220301-h00m48s52	[3464.60929535    0.00785234    2.08739154  504.83403866]
20220301-h00m49s40	[3593.94628398    0.00764123    2.02623809  452.36804997]
20220301-h00m50s30	[3496.51896831    0.00829666    2.01623558  471.91177733]
20220301-h00m51s20	[3966.49560846    0.00753154    2.10977298  512.11307241]
20220301-h00m52s14	[4080.93608208    0.00784853    2.13580374  487.37558938]
20220301-h00m53s02	[3131.47224162    0.01018871    2.06805619  489.77108516]
20220301-h00m53s55	[3981.77198143    0.00729922    2.12959173  518.80588817]
20220301-h00m54s45	[4054.51177964    0.00720928    2.13526976  537.54887042]
20220301-h00m55s38	[4728.04760023    0.00706974    2.12454495  468.55094098]
20220301-h00m56s27	[4224.15453777    0.00652886    2.02608583  478.26530382]
20220301-h00m57s16	[4945.53014218    0.00660608    2.04980821  497.19528284]
20220301-h00m58s04	[3571.33387991    0.00942266    2.00145783  499.63479082]
20220301-h00m58s53	[2436.74166976    0.012241      2.01564112  519.60074224]
20220301-h00m59s41	[4092.94207464    0.00580086    2.05609305  529.82840656]
20220301-h01m00s31	[3364.20681699    0.00818127    2.01991337  535.24387871]
20220301-h01m01s19	[4139.90217592    0.00578634    2.12534861  531.0612407 ]
20220301-h01m02s07	[3731.53822408    0.00683329    2.07334667  511.78066823]
20220301-h01m02s58	[4702.50474103    0.00873704    2.16504832  491.81745512]
20220301-h01m03s46	[3410.15331286    0.00900284    2.01764842  487.55989699]
20220301-h01m04s37	[3976.91749221    0.00831501    2.13980282  510.2141406 ]
20220301-h01m05s25	[3387.99261837    0.00940558    2.07834826  454.01655127]
20220301-h01m06s14	[3684.87902441    0.00675428    2.08258533  549.64840171]
20220301-h01m07s04	[3027.64257479    0.00854011    2.11337299  530.04167597]
20220301-h01m07s53	[3470.16936711    0.00512662    2.08229512  515.42144312]
20220301-h01m08s44	[4308.76650378    0.00837212    2.13163473  479.58282233]
20220301-h01m09s32	[2637.26332513    0.00698772    2.06523187  540.92160759]
20220301-h01m10s21	[3143.02998711    0.00838046    2.03219064  473.82617289]
20220301-h01m11s10	[3379.01033316    0.00874488    2.11153107  483.5756182 ]
20220301-h01m11s58	[3354.88474081    0.00720458    2.05578388  516.71856698]
20220301-h01m12s47	[4607.61525124    0.00678071    2.01893124  519.53541937]
20220301-h01m13s38	[3697.41141654    0.00929477    2.06982467  450.85815558]
20220301-h01m14s26	[4965.80917497    0.00749296    2.05624206  490.81594764]
20220301-h01m15s14	[5285.03555318    0.0057475     2.10087436  530.9816564 ]
20220301-h01m16s02	[4779.51954029    0.00612946    2.10472501  525.57622586]
20220301-h01m16s51	[3377.49171259    0.00814524    2.07960353  454.31152727]
20220301-h01m17s42	[4383.66185149    0.00683779    2.1333106   503.04241765]
20220301-h01m18s31	[3624.73974298    0.00909207    2.04179009  465.56462634]
20220301-h01m19s19	[3864.46427666    0.00657793    2.06918301  485.46732873]
20220301-h01m20s07	[4520.37313162    0.00678641    2.07378707  502.90122876]
20220301-h01m20s58	[5390.34690222    0.00660959    2.17686471  462.98911536]
20220301-h01m21s50	[3400.97321316    0.01011557    2.10958461  493.35534279]
20220301-h01m22s40	[4064.57337803    0.01046519    2.09638845  446.76110278]
20220301-h01m23s29	[5792.21314073    0.00548036    2.0153297   540.42306049]
20220301-h01m24s22	[4461.88751685    0.00773109    2.081949    479.05492257]
20220301-h01m25s20	[5212.8813832     0.00598271    2.12292905  492.88498768]
20220301-h01m26s08	[3273.13895646    0.00968637    2.08353001  449.60267433]
20220301-h01m26s56	[4601.06424167    0.0079334     2.07644087  483.3423818 ]
20220301-h01m27s45	[3932.79099977    0.00972816    2.04521712  469.34845368]
20220301-h01m28s34	[5805.38633089    0.00722074    2.00443105  455.14703031]
20220301-h01m29s23	[4096.90741357    0.00890216    2.10827061  478.37094251]
20220301-h01m30s11	[4311.32778529    0.00872863    2.07367902  498.03941182]
20220301-h01m31s02	[5887.92285338    0.00864057    2.1380574   491.23830256]
20220301-h01m31s51	[4616.02620752    0.00834862    2.0324077   474.40134425]
20220301-h01m32s40	[5855.6859374     0.00844179    2.12736606  475.11882273]
20220301-h01m33s31	[4759.84605042    0.00898196    2.10163463  446.91298774]
20220301-h01m34s19	[5160.47609168    0.00508718    2.03718723  518.54687723]
20220301-h01m35s13	[5661.1767218     0.00782773    2.14477727  489.4598815 ]
20220301-h01m36s01	[6180.88602883    0.00673972    2.06691615  521.2006697 ]
20220301-h01m36s49	[3854.44317596    0.0096386     2.10875316  490.43441886]
20220301-h01m37s38	[6152.36006857    0.00584267    2.06495506  493.42783841]
20220301-h01m38s27	[4493.0760259     0.0064055     2.11259112  511.17597472]
20220301-h01m39s16	[5761.72138423    0.00641455    2.07046614  491.95308909]
20220301-h01m40s09	[5182.06444622    0.00781116    2.15842899  471.65059967]
20220301-h01m41s00	[6819.18024897    0.00765828    2.14655909  525.01314259]
20220301-h01m41s53	[4616.07159432    0.00817181    2.16036939  484.72268007]
20220301-h01m42s50	[4907.7602811     0.00670218    2.07545539  529.64218606]
20220301-h01m43s43	[5381.39322824    0.00631777    2.12527095  490.0551246 ]
20220301-h01m44s31	[4617.28328299    0.00752613    2.1120682   424.15091799]
20220301-h01m45s20	[4579.53092194    0.00650968    2.10804504  522.58518214]
20220301-h01m46s09	[4024.90910739    0.00921937    2.08297812  490.41869921]
20220301-h01m46s58	[4118.76258728    0.00777822    2.11061704  515.09288333]
20220301-h01m47s46	[2230.86114721    0.01179266    2.04158822  456.98897835]
20220301-h01m48s35	[3385.94810459    0.00812432    2.07700807  479.96155046]
20220301-h01m49s26	[3488.30956003    0.00737941    2.12993344  509.36113967]
20220301-h01m50s19	[2423.39991174    0.00890632    2.13146584  476.65383847]
20220301-h01m51s07	[2788.0459674     0.009127      2.08837039  455.46968887]
20220301-h01m52s05	[2635.695753      0.00812084    2.15019837  504.09763218]
20220301-h01m52s54	[3123.43264351    0.00579036    2.11291761  547.00507276]
20220301-h01m53s42	[1866.93749313    0.00705594    2.03211235  533.40111164]
20220301-h01m54s31	[1854.78779718    0.00569168    2.05782205  490.32117773]
20220301-h01m55s19	[2008.08743996    0.01160861    1.99530335  520.54381265]
20220301-h01m56s08	[3439.10458266    0.00516399    2.06450288  537.79412866]
20220301-h01m57s01	[3053.21167066    0.0077275     2.18202397  460.03621003]
20220301-h01m57s56	[2450.59790433    0.00756263    2.15520336  527.0496096 ]
20220301-h01m58s47	[2851.11330034    0.00780937    2.11367009  494.32909967]
20220301-h01m59s36	[3079.63415638    0.00633485    2.08029001  504.08887934]
20220301-h02m00s25	[2496.54275572    0.00924554    2.11061962  486.4591837 ]
20220301-h02m01s18	[2545.59595287    0.00949542    2.14847467  506.48417297]
20220301-h02m02s07	[3919.22683054    0.00597949    2.05971593  502.23251884]
20220301-h02m02s55	[2182.42386843    0.01253514    2.02821101  481.76502725]
20220301-h02m03s44	[3564.99126823    0.00917022    2.14481326  456.478664  ]
20220301-h02m04s32	[2974.1012295     0.00952402    2.12822039  449.00523188]
20220301-h02m05s21	[4137.62562888    0.00753547    2.09649538  514.67813695]
20220301-h02m06s09	[3808.84204593    0.00727178    2.08174003  507.17528399]
20220301-h02m06s59	[3277.42939262    0.00586219    2.09979082  514.50015775]
20220301-h02m07s47	[3822.47654755    0.00699344    2.05180116  521.95727132]
20220301-h02m08s40	[3279.3125944     0.00820646    2.13703503  514.98430194]
20220301-h02m09s28	[3835.39273372    0.00590277    2.03754668  530.43280995]
20220301-h02m10s18	[4733.71412348    0.0061641     2.0792045   445.58413529]
20220301-h02m11s11	[4541.86559702    0.00757229    2.09758684  527.02177472]
20220301-h02m12s04	[3815.7763427     0.00803192    2.10500812  488.29041303]
20220301-h02m12s53	[4659.51570773    0.00830214    2.09142489  483.48690402]
20220301-h02m13s44	[4548.44581151    0.00541101    2.19048827  541.1971074 ]
20220301-h02m14s33	[3360.87187338    0.00963235    2.10123863  496.95046579]
20220301-h02m15s26	[5167.40508986    0.00629357    2.13761056  505.74761127]
20220301-h02m16s14	[3733.1109234     0.00863794    2.06179199  485.82415496]
20220301-h02m17s05	[4039.80796715    0.00756777    2.15245298  546.55336046]
20220301-h02m17s53	[3539.24656842    0.0084712     2.01978619  505.29983953]
20220301-h02m18s51	[3611.8473955     0.00978899    2.15582191  504.49000641]
20220301-h02m19s42	[3463.50255837    0.00901616    2.13196527  458.72610353]
20220301-h02m20s32	[4239.09271947    0.00653614    2.15275809  493.4987809 ]
20220301-h02m21s22	[4117.85816911    0.00749117    2.09554519  521.28944326]
20220301-h02m22s15	[4927.33481713    0.00513336    2.15067087  521.08052331]
20220301-h02m23s03	[2525.01964159    0.00942158    2.08222525  489.01538599]
20220301-h02m23s54	[4191.51584817    0.00592717    2.13713819  517.53666921]
20220301-h02m24s44	[2868.86010699    0.00876333    2.09928885  485.93164568]
20220301-h02m25s32	[4097.5552514     0.00788632    2.11701835  490.0596267 ]
20220301-h02m26s25	[3854.42266661    0.00770045    2.0903341   471.82955177]
20220301-h02m27s16	[4674.73290815    0.00770275    2.06353653  459.55636707]
20220301-h02m28s05	[3266.06215339    0.00874173    2.03478505  463.73831004]
20220301-h02m28s54	[5496.64089883    0.00694036    2.0539547   498.09871166]
20220301-h02m29s43	[3775.58298411    0.00987212    2.10830222  458.77613556]
20220301-h02m30s31	[4325.27342491    0.00525944    2.0840961   575.58681913]
20220301-h02m31s21	[3373.517009      0.00818348    2.06656821  502.50342803]
20220301-h02m32s09	[3424.79127175    0.00797154    2.10116745  505.51138936]
20220301-h02m32s58	[3476.32580701    0.00650436    2.03744054  471.74678036]
20220301-h02m33s46	[4537.85405099    0.0071134     2.0900554   538.81780505]
20220301-h02m34s35	[4571.88653381    0.00692908    2.06013038  444.96579007]
20220301-h02m35s23	[3748.22637018    0.00691247    2.10206337  526.90183455]
20220301-h02m36s19	[4596.69589329    0.00601309    2.13799047  530.18684414]
20220301-h02m37s08	[3383.2424756     0.00929063    2.11665647  484.02665037]
20220301-h02m37s56	[3458.35791593    0.00967524    2.01601313  501.70582167]
20220301-h02m38s48	[3442.17180837    0.00869839    2.11919761  506.95463336]
20220301-h02m39s40	[4489.7746317     0.00574171    2.14046728  540.42912104]
20220301-h02m40s28	[3310.03528135    0.00923305    2.05962186  467.86666626]
20220301-h02m41s17	[4299.14368744    0.00652395    2.08302034  535.67167563]
20220301-h02m42s10	[3438.36244907    0.00955841    2.13968447  481.10841632]
20220301-h02m42s59	[3310.41820587    0.00899903    2.0879233   507.42677849]
20220301-h02m43s47	[4423.06380732    0.00603559    2.10204844  502.82426067]
20220301-h02m44s36	[2839.29998831    0.01130612    2.0855987   457.84918134]
20220301-h02m45s26	[3825.78522236    0.00778948    2.10571475  539.86247286]
20220301-h02m46s14	[3953.85587757    0.00864208    2.08265912  484.66581274]
20220301-h02m47s03	[4361.96630563    0.00717892    2.13637953  443.86650817]
20220301-h02m47s56	[5336.44058703    0.00633855    2.0992244   503.31863882]
20220301-h02m48s45	[4065.69560891    0.00723509    2.12013564  464.32499321]
20220301-h02m49s33	[4064.06386035    0.00640604    2.01338276  507.61666623]
20220301-h02m50s22	[4366.67969976    0.00706144    2.11493846  475.08725189]
20220301-h02m51s10	[3625.36170604    0.00941577    2.06778077  494.45244956]
20220301-h02m52s02	[4926.91288974    0.00715667    2.09841321  449.40300601]
20220301-h02m52s51	[3863.29928936    0.00965706    2.104455    516.96915154]
20220301-h02m53s42	[4727.65194707    0.00847625    2.15216115  477.2891367 ]
20220301-h02m54s30	[6465.07968802    0.00638174    2.0871435   491.13289342]
20220301-h02m55s23	[5309.40768302    0.00685706    2.15894403  503.50984654]
20220301-h02m56s12	[5505.68571508    0.00740063    2.07876464  480.8346762 ]
20220301-h02m57s00	[5114.06390876    0.00802684    2.08071203  507.51896795]
20220301-h02m58s01	[6322.35061822    0.00606158    2.15097085  525.5142683 ]
20220301-h02m58s49	[5311.97125604    0.00704092    2.12032085  488.44300623]
20220301-h02m59s43	[5651.14712752    0.00884029    2.10816953  503.38484754]
20220301-h03m00s32	[5159.22940834    0.01019412    2.0103179   471.10799502]
20220301-h03m01s21	[5409.91692989    0.00678329    2.03563011  473.74388418]
20220301-h03m02s14	[6421.74060235    0.00819732    2.15657458  497.08275884]
20220301-h03m03s03	[5124.81963488    0.00944281    2.09523225  469.50944512]
20220301-h03m03s54	[7350.5239496     0.00734204    2.17060325  493.55573002]
20220301-h03m04s42	[4260.05762152    0.00850326    2.13311011  485.37582008]
20220301-h03m05s31	[5232.63283811    0.00614204    2.08607663  550.25737173]
20220301-h03m06s20	[4879.19276609    0.00930604    2.12099275  458.40828538]
20220301-h03m07s09	[5723.94657831    0.00685748    2.10794667  548.817476  ]
20220301-h03m08s03	[4478.71140447    0.00738344    2.12355209  492.9221451 ]
20220301-h03m08s51	[3868.57680087    0.00678832    2.11146397  512.38629788]
20220301-h03m09s40	[4193.62444889    0.00733225    2.12496818  522.74917759]
20220301-h03m10s29	[3807.41502996    0.00815772    2.09401745  494.76727607]
20220301-h03m11s17	[3519.90479313    0.00908532    2.10383316  471.80929815]
20220301-h03m12s13	[3035.71629079    0.00712734    2.16150629  533.34002921]
20220301-h03m13s03	[4115.03857368    0.00650616    2.11287664  522.59985575]
20220301-h03m13s51	[2671.18280833    0.00971382    2.0708501   491.26557736]
20220301-h03m14s40	[2248.54115917    0.01071545    2.09470413  480.68311182]
20220301-h03m15s33	[3497.11803585    0.00725223    2.14205768  480.62693308]
20220301-h03m16s24	[2556.63504171    0.00908286    2.12447826  502.04003705]
20220301-h03m17s13	[2476.69819382    0.00813647    2.08182162  478.62547389]
20220301-h03m18s01	[1887.41178748    0.0070651     2.11118843  492.42693288]
20220301-h03m18s50	[2786.702211      0.00630442    2.10380705  524.78105738]
20220301-h03m19s38	[2893.22911276    0.00665324    2.09272043  474.75878902]
20220301-h03m20s28	[2557.04767455    0.00654695    2.05712365  496.84321101]
20220301-h03m21s17	[3147.07575547    0.00862076    2.05231821  416.04822118]
20220301-h03m22s05	[2341.28774634    0.00985524    2.06223307  502.19197654]
20220301-h03m22s56	[3414.99792858    0.00896611    2.12256059  486.92432724]
20220301-h03m23s45	[3168.42818963    0.00633867    2.01385621  540.84372087]
20220301-h03m24s34	[2887.71405411    0.00846325    2.10334269  463.68376308]
20220301-h03m25s22	[2418.41758599    0.0090986     2.06085465  492.96079556]
20220301-h03m26s11	[3174.84224279    0.00687786    2.14792639  504.56728947]
20220301-h03m27s03	[3453.8683695     0.00738362    2.13333133  505.11338331]
20220301-h03m27s54	[3641.30870856    0.00902429    2.16592651  477.51349141]
20220301-h03m28s52	[3567.31072879    0.00952759    2.07770942  480.51678882]
20220301-h03m29s41	[3043.25883617    0.00777682    2.05318341  512.22238472]
20220301-h03m30s32	[4481.76523161    0.00722271    2.15074722  539.86470145]
20220301-h03m31s28	[2646.92923505    0.00761515    2.16443442  464.8747312 ]
20220301-h03m32s16	[3171.95941735    0.00782121    2.06522316  478.02239625]
20220301-h03m33s05	[2738.28102408    0.00983383    2.07818991  494.05000662]
20220301-h03m33s59	[4095.73126502    0.00627719    2.12123272  537.82903118]
20220301-h03m34s48	[3322.5796273     0.00941295    2.08988413  474.16517952]
20220301-h03m35s36	[3077.9412813     0.00743148    2.0703295   477.10741264]
20220301-h03m36s30	[5230.15465937    0.00581018    2.13992267  489.9938416 ]
20220301-h03m37s21	[4186.99108936    0.00723861    2.14348802  499.84958057]
20220301-h03m38s09	[4252.01711565    0.0070287     2.05255153  497.48839157]
20220301-h03m38s58	[3494.53967412    0.00685304    2.02154015  499.09269587]
20220301-h03m39s47	[3333.94787465    0.00982242    2.10724107  507.91427677]
20220301-h03m40s35	[4001.88626466    0.0067512     2.0918599   533.21969629]
20220301-h03m41s27	[4193.93794839    0.00627782    2.11218243  480.70299901]
20220301-h03m42s16	[3092.12474595    0.01072902    2.10053547  525.14713248]
20220301-h03m43s07	[4619.30118605    0.00806023    2.13847557  489.95521671]
20220301-h03m43s58	[3853.30924103    0.00713488    2.09686224  493.95703148]
20220301-h03m44s49	[4278.28651614    0.00620078    2.15561744  513.92903376]
20220301-h03m45s37	[3321.31597257    0.00708825    2.11735738  499.48973386]
20220301-h03m46s26	[3318.34649127    0.00994254    2.03003344  474.47331442]
