x0000,y0000
-2.139300533,0,
-2.137522229,56.25,
-2.135743924,0,
-2.133965619,0,
-2.132187315,56.25,
-2.13040901,56.25,
-2.128630705,168.75,
-2.126852401,0,
-2.125074096,56.25,
-2.123295791,56.25,
-2.121517487,0,
-2.119739182,0,
-2.117960877,0,
-2.116182573,112.5,
-2.114404268,56.25,
-2.112625963,56.25,
-2.110847659,168.75,
-2.109069354,0,
-2.107291049,168.75,
-2.105512745,225,
-2.10373444,112.5,
-2.101956135,0,
-2.10017783,0,
-2.098399526,56.25,
-2.096621221,56.25,
-2.094842916,56.25,
-2.093064612,56.25,
-2.091286307,0,
-2.089508002,225,
-2.087729698,56.25,
-2.085951393,56.25,
-2.084173088,56.25,
-2.082394784,56.25,
-2.080616479,56.25,
-2.078838174,112.5,
-2.07705987,112.5,
-2.075281565,225,
-2.07350326,0,
-2.071724956,0,
-2.069946651,56.25,
-2.068168346,112.5,
-2.066390041,56.25,
-2.064611737,0,
-2.062833432,0,
-2.061055127,112.5,
-2.059276823,56.25,
-2.057498518,0,
-2.055720213,0,
-2.053941909,168.75,
-2.052163604,112.5,
-2.050385299,0,
-2.048606995,0,
-2.04682869,0,
-2.045050385,0,
-2.043272081,56.25,
-2.041493776,56.25,
-2.039715471,0,
-2.037937167,112.5,
-2.036158862,56.25,
-2.034380557,0,
-2.032602253,0,
-2.030823948,0,
-2.029045643,112.5,
-2.027267338,56.25,
-2.025489034,56.25,
-2.023710729,56.25,
-2.021932424,56.25,
-2.02015412,56.25,
-2.018375815,112.5,
-2.01659751,56.25,
-2.014819206,168.75,
-2.013040901,56.25,
-2.011262596,168.75,
-2.009484292,0,
-2.007705987,225,
-2.005927682,225,
-2.004149378,112.5,
-2.002371073,56.25,
-2.000592768,0,
-1.998814464,56.25,
-1.997036159,168.75,
-1.995257854,168.75,
-1.993479549,56.25,
-1.991701245,0,
-1.98992294,56.25,
-1.988144635,225,
-1.986366331,56.25,
-1.984588026,56.25,
-1.982809721,56.25,
-1.981031417,112.5,
-1.979253112,168.75,
-1.977474807,0,
-1.975696503,112.5,
-1.973918198,56.25,
-1.972139893,112.5,
-1.970361589,0,
-1.968583284,112.5,
-1.966804979,56.25,
-1.965026675,0,
-1.96324837,56.25,
-1.961470065,56.25,
-1.959691761,0,
-1.957913456,112.5,
-1.956135151,56.25,
-1.954356846,225,
-1.952578542,56.25,
-1.950800237,56.25,
-1.949021932,56.25,
-1.947243628,56.25,
-1.945465323,56.25,
-1.943687018,112.5,
-1.941908714,56.25,
-1.940130409,0,
-1.938352104,0,
-1.9365738,56.25,
-1.934795495,56.25,
-1.93301719,0,
-1.931238886,168.75,
-1.929460581,56.25,
-1.927682276,168.75,
-1.925903972,0,
-1.924125667,56.25,
-1.922347362,56.25,
-1.920569057,0,
-1.918790753,112.5,
-1.917012448,112.5,
-1.915234143,56.25,
-1.913455839,56.25,
-1.911677534,0,
-1.909899229,168.75,
-1.908120925,0,
-1.90634262,56.25,
-1.904564315,0,
-1.902786011,168.75,
-1.901007706,0,
-1.899229401,56.25,
-1.897451097,0,
-1.895672792,56.25,
-1.893894487,0,
-1.892116183,0,
-1.890337878,168.75,
-1.888559573,0,
-1.886781269,56.25,
-1.885002964,0,
-1.883224659,112.5,
-1.881446354,56.25,
-1.87966805,0,
-1.877889745,56.25,
-1.87611144,112.5,
-1.874333136,56.25,
-1.872554831,112.5,
-1.870776526,0,
-1.868998222,0,
-1.867219917,56.25,
-1.865441612,0,
-1.863663308,56.25,
-1.861885003,56.25,
-1.860106698,0,
-1.858328394,56.25,
-1.856550089,0,
-1.854771784,56.25,
-1.85299348,0,
-1.851215175,0,
-1.84943687,0,
-1.847658566,112.5,
-1.845880261,56.25,
-1.844101956,0,
-1.842323651,0,
-1.840545347,0,
-1.838767042,112.5,
-1.836988737,0,
-1.835210433,0,
-1.833432128,112.5,
-1.831653823,112.5,
-1.829875519,112.5,
-1.828097214,56.25,
-1.826318909,56.25,
-1.824540605,112.5,
-1.8227623,0,
-1.820983995,112.5,
-1.819205691,112.5,
-1.817427386,56.25,
-1.815649081,56.25,
-1.813870777,112.5,
-1.812092472,0,
-1.810314167,56.25,
-1.808535862,112.5,
-1.806757558,112.5,
-1.804979253,0,
-1.803200948,0,
-1.801422644,112.5,
-1.799644339,0,
-1.797866034,112.5,
-1.79608773,112.5,
-1.794309425,168.75,
-1.79253112,0,
-1.790752816,112.5,
-1.788974511,0,
-1.787196206,56.25,
-1.785417902,168.75,
-1.783639597,0,
-1.781861292,56.25,
-1.780082988,112.5,
-1.778304683,56.25,
-1.776526378,0,
-1.774748074,168.75,
-1.772969769,56.25,
-1.771191464,0,
-1.769413159,0,
-1.767634855,0,
-1.76585655,168.75,
-1.764078245,56.25,
-1.762299941,112.5,
-1.760521636,56.25,
-1.758743331,168.75,
-1.756965027,56.25,
-1.755186722,0,
-1.753408417,0,
-1.751630113,112.5,
-1.749851808,56.25,
-1.748073503,56.25,
-1.746295199,0,
-1.744516894,0,
-1.742738589,112.5,
-1.740960285,56.25,
-1.73918198,0,
-1.737403675,56.25,
-1.73562537,0,
-1.733847066,56.25,
-1.732068761,56.25,
-1.730290456,56.25,
-1.728512152,168.75,
-1.726733847,0,
-1.724955542,56.25,
-1.723177238,0,
-1.721398933,112.5,
-1.719620628,56.25,
-1.717842324,0,
-1.716064019,56.25,
-1.714285714,56.25,
-1.71250741,56.25,
-1.710729105,56.25,
-1.7089508,56.25,
-1.707172496,56.25,
-1.705394191,0,
-1.703615886,0,
-1.701837582,112.5,
-1.700059277,168.75,
-1.698280972,0,
-1.696502667,0,
-1.694724363,56.25,
-1.692946058,225,
-1.691167753,56.25,
-1.689389449,56.25,
-1.687611144,0,
-1.685832839,168.75,
-1.684054535,56.25,
-1.68227623,112.5,
-1.680497925,56.25,
-1.678719621,56.25,
-1.676941316,168.75,
-1.675163011,56.25,
-1.673384707,112.5,
-1.671606402,112.5,
-1.669828097,168.75,
-1.668049793,0,
-1.666271488,0,
-1.664493183,56.25,
-1.662714878,0,
-1.660936574,112.5,
-1.659158269,168.75,
-1.657379964,0,
-1.65560166,0,
-1.653823355,0,
-1.65204505,0,
-1.650266746,0,
-1.648488441,56.25,
-1.646710136,0,
-1.644931832,56.25,
-1.643153527,0,
-1.641375222,0,
-1.639596918,0,
-1.637818613,0,
-1.636040308,0,
-1.634262004,56.25,
-1.632483699,112.5,
-1.630705394,0,
-1.62892709,168.75,
-1.627148785,168.75,
-1.62537048,56.25,
-1.623592175,168.75,
-1.621813871,281.25,
-1.620035566,0,
-1.618257261,0,
-1.616478957,56.25,
-1.614700652,168.75,
-1.612922347,0,
-1.611144043,56.25,
-1.609365738,56.25,
-1.607587433,56.25,
-1.605809129,56.25,
-1.604030824,168.75,
-1.602252519,56.25,
-1.600474215,0,
-1.59869591,0,
-1.596917605,56.25,
-1.595139301,0,
-1.593360996,56.25,
-1.591582691,0,
-1.589804386,112.5,
-1.588026082,56.25,
-1.586247777,0,
-1.584469472,0,
-1.582691168,56.25,
-1.580912863,56.25,
-1.579134558,168.75,
-1.577356254,0,
-1.575577949,0,
-1.573799644,0,
-1.57202134,112.5,
-1.570243035,56.25,
-1.56846473,225,
-1.566686426,112.5,
-1.564908121,56.25,
-1.563129816,56.25,
-1.561351512,0,
-1.559573207,56.25,
-1.557794902,56.25,
-1.556016598,56.25,
-1.554238293,0,
-1.552459988,0,
-1.550681683,56.25,
-1.548903379,0,
-1.547125074,56.25,
-1.545346769,168.75,
-1.543568465,168.75,
-1.54179016,0,
-1.540011855,112.5,
-1.538233551,0,
-1.536455246,112.5,
-1.534676941,56.25,
-1.532898637,112.5,
-1.531120332,112.5,
-1.529342027,168.75,
-1.527563723,56.25,
-1.525785418,112.5,
-1.524007113,225,
-1.522228809,112.5,
-1.520450504,112.5,
-1.518672199,112.5,
